Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,2,distilbert,0.8651685393258427,0.22713864306784662,0.3598130841121495,0.3199307918548584,339,0.1499999999999997
D1,2,roberta,0.0,0.0,0.0,0.0003464221954345703,73,0.95
D1,2,roberta,0.0,0.0,0.0,0.00045418739318847656,77,0.8999999999999999
D1,2,roberta,0.15730337078651685,0.14,0.14814814814814817,0.0014748573303222656,100,0.8499999999999999
D1,2,roberta,0.5393258426966292,0.3310344827586207,0.41025641025641024,0.003895998001098633,145,0.7999999999999998
D1,2,roberta,0.7865168539325843,0.35353535353535354,0.4878048780487805,0.008658170700073242,198,0.7499999999999998
D1,2,roberta,0.8426966292134831,0.2604166666666667,0.3978779840848807,0.06697654724121094,288,0.6999999999999997
D1,2,roberta,0.8426966292134831,0.22255192878338279,0.352112676056338,0.4718661308288574,337,0.6499999999999997
D1,2,roberta,0.8426966292134831,0.22123893805309736,0.35046728971962615,0.8243944644927979,339,0.5999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0003120899200439453,59,0.95
D1,2,xlnet,0.0,0.0,0.0,0.00036072731018066406,73,0.8999999999999999
D1,2,xlnet,0.0,0.0,0.0,0.0003669261932373047,73,0.8499999999999999
D1,2,xlnet,0.0,0.0,0.0,0.0003719329833984375,73,0.7999999999999998
D1,2,xlnet,0.0,0.0,0.0,0.0003769397735595703,73,0.7499999999999998
D1,2,xlnet,0.0,0.0,0.0,0.0003814697265625,73,0.6999999999999997
D1,2,xlnet,0.0,0.0,0.0,0.00038623809814453125,73,0.6499999999999997
D1,2,xlnet,0.0,0.0,0.0,0.0003910064697265625,73,0.5999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.00039577484130859375,73,0.5499999999999996
D1,2,xlnet,0.0,0.0,0.0,0.00040030479431152344,73,0.4999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0004050731658935547,73,0.4499999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0004096031188964844,73,0.39999999999999963
D1,2,xlnet,0.0,0.0,0.0,0.0004143714904785156,73,0.34999999999999964
D1,2,xlnet,0.0,0.0,0.0,0.0004191398620605469,73,0.29999999999999966
D1,2,xlnet,0.0,0.0,0.0,0.00042366981506347656,73,0.24999999999999967
D1,2,xlnet,0.0,0.0,0.0,0.00042819976806640625,73,0.19999999999999968
D1,2,xlnet,0.0,0.0,0.0,0.00043320655822753906,73,0.1499999999999997
D1,2,xlnet,0.02247191011235955,0.025974025974025976,0.024096385542168676,0.000484466552734375,77,0.09999999999999969
D1,2,xlnet,0.15730337078651685,0.109375,0.12903225806451613,0.004997968673706055,128,0.049999999999999684
D1,2,xlnet,0.2696629213483146,0.07079646017699115,0.11214953271028037,0.3444201946258545,339,-3.191891195797325e-16
D1,2,albert,0.0,0.0,0.0,0.0003752708435058594,73,0.95
D1,2,albert,0.0,0.0,0.0,0.0003857612609863281,73,0.8999999999999999
D1,2,albert,0.0,0.0,0.0,0.0008211135864257812,80,0.8499999999999999
D1,2,albert,0.0,0.0,0.0,0.008175134658813477,94,0.7999999999999998
D1,2,albert,0.0,0.0,0.0,0.009396076202392578,94,0.7499999999999998
D1,2,albert,0.0,0.0,0.0,0.009525537490844727,95,0.6999999999999997
D1,2,albert,0.0,0.0,0.0,0.009534835815429688,95,0.6499999999999997
D1,2,albert,0.0,0.0,0.0,0.01052999496459961,95,0.5999999999999996
D1,2,albert,0.0,0.0,0.0,0.011078357696533203,95,0.5499999999999996
