,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
217,D7,2,word2vec,5,i2q,exact,0.5721544715447154,0.037186261558784676,0.2872653007507324
218,D7,2,word2vec,10,i2q,exact,0.5884146341463414,0.019121532364597092,0.5203464031219482
219,D7,2,fasttext,1,i2q,exact,0.3755081300813008,0.12202774108322324,0.08624911308288574
220,D7,2,fasttext,5,i2q,exact,0.43648373983739835,0.028368560105680316,0.2841956615447998
221,D7,2,fasttext,10,i2q,exact,0.4568089430894309,0.014844782034346103,0.5302164554595947
222,D7,2,glove,1,i2q,exact,0.49847560975609756,0.16198811096433288,0.08696103096008301
223,D7,2,glove,5,i2q,exact,0.5599593495934959,0.03639365918097754,0.2798440456390381
224,D7,2,glove,10,i2q,exact,0.573170731707317,0.018626155878467634,0.5194137096405029
225,D7,2,bert,1,i2q,exact,0.1798780487804878,0.05845442536327609,0.09125733375549316
226,D7,2,bert,5,i2q,exact,0.258130081300813,0.01677675033025099,0.28820180892944336
227,D7,2,bert,10,i2q,exact,0.29827235772357724,0.009692866578599735,0.5244705677032471
228,D7,2,distilbert,1,i2q,exact,0.22611788617886178,0.07348084544253633,0.09760403633117676
229,D7,2,distilbert,5,i2q,exact,0.2916666666666667,0.018956406869220607,0.2901639938354492
230,D7,2,distilbert,10,i2q,exact,0.3241869918699187,0.010535006605019815,0.5333309173583984
231,D7,2,roberta,1,i2q,exact,0.14888211382113822,0.048381770145310435,0.09813976287841797
232,D7,2,roberta,5,i2q,exact,0.1951219512195122,0.012681638044914135,0.2913212776184082
233,D7,2,roberta,10,i2q,exact,0.22103658536585366,0.007182959048877146,0.5338106155395508
234,D7,2,xlnet,1,i2q,exact,0.021341463414634148,0.006935270805812417,0.07884645462036133
235,D7,2,xlnet,5,i2q,exact,0.03048780487804878,0.0019815059445178335,0.2764554023742676
236,D7,2,xlnet,10,i2q,exact,0.039634146341463415,0.0012879788639365917,0.5264956951141357
237,D7,2,albert,1,i2q,exact,0.019308943089430895,0.006274768824306473,0.07925200462341309
238,D7,2,albert,5,i2q,exact,0.04014227642276423,0.0026089828269484808,0.27725911140441895
239,D7,2,albert,10,i2q,exact,0.052845528455284556,0.0017173051519154558,0.5243074893951416
240,D7,2,smpnet,1,i2q,exact,0.8612804878048781,0.279887714663144,0.07891678810119629
241,D7,2,smpnet,5,i2q,exact,0.9420731707317073,0.06122853368560106,0.2753870487213135
242,D7,2,smpnet,10,i2q,exact,0.9583333333333334,0.031142668428005282,0.5262784957885742
243,D7,2,st5,1,i2q,exact,0.8689024390243902,0.2823645970937913,0.07691836357116699
244,D7,2,st5,5,i2q,exact,0.9232723577235772,0.06000660501981506,0.2706325054168701
245,D7,2,st5,10,i2q,exact,0.9380081300813008,0.03048216644649934,0.5098605155944824
246,D7,2,sdistilroberta,1,i2q,exact,0.7972560975609756,0.25908190224570676,0.0782928466796875
247,D7,2,sdistilroberta,5,i2q,exact,0.896849593495935,0.0582892998678996,0.27754998207092285
248,D7,2,sdistilroberta,10,i2q,exact,0.9161585365853658,0.02977212681638045,0.5539510250091553
249,D7,2,sminilm,1,i2q,exact,0.8770325203252033,0.28500660501981506,0.08698010444641113
250,D7,2,sminilm,5,i2q,exact,0.9410569105691057,0.061162483487450466,0.28073620796203613
251,D7,2,sminilm,10,i2q,exact,0.9532520325203252,0.030977542932628797,0.5176019668579102
252,D8,2,word2vec,1,i2q,exact,0.6518171160609613,0.02518800398659056,0.27414774894714355
253,D8,2,word2vec,5,i2q,exact,0.8347010550996483,0.006451028359155567,0.9495933055877686
254,D8,2,word2vec,10,i2q,exact,0.8722157092614302,0.00337048110899701,1.8693044185638428
255,D8,2,fasttext,1,i2q,exact,0.7080890973036342,0.027362507927878952,0.2954394817352295
256,D8,2,fasttext,5,i2q,exact,0.82063305978898,0.006342303162091148,0.9650940895080566
257,D8,2,fasttext,10,i2q,exact,0.8487690504103166,0.0032798767781099937,1.8670575618743896
258,D8,2,glove,1,i2q,exact,0.5427901524032825,0.020974902600344295,0.30284905433654785
259,D8,2,glove,5,i2q,exact,0.7104337631887456,0.005490622451753194,0.9719266891479492
260,D8,2,glove,10,i2q,exact,0.7643610785463072,0.0029537011869167347,1.8730289936065674
261,D8,2,bert,1,i2q,exact,0.5967174677608441,0.023058802210745674,0.3064842224121094
262,D8,2,bert,5,i2q,exact,0.7819460726846424,0.006043308870163994,0.9944629669189453
263,D8,2,bert,10,i2q,exact,0.8276670574443142,0.003198332880311679,1.9232094287872314
264,D8,2,distilbert,1,i2q,exact,0.5838218053927315,0.022560478390867084,0.3088221549987793
265,D8,2,distilbert,5,i2q,exact,0.7842907385697538,0.006061429736341397,0.9890732765197754
266,D8,2,distilbert,10,i2q,exact,0.835873388042204,0.0032300443961221347,1.9285871982574463
267,D8,2,roberta,1,i2q,exact,0.567409144196952,0.02192624807465797,0.3003959655761719
268,D8,2,roberta,5,i2q,exact,0.7772567409144197,0.006007067137809187,0.9788467884063721
269,D8,2,roberta,10,i2q,exact,0.813599062133646,0.003143970281779469,1.8954029083251953
270,D8,2,xlnet,1,i2q,exact,0.13716295427901523,0.00530035335689046,0.3051798343658447
