Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
32,2,2,smpnet,10,i2q,approx,0.486835795408026,0.04986319158927767,25.35442352294922
33,2,2,st5,10,i2q,approx,0.9163713346667135,0.10126655904124622,33.41301512718201
34,2,2,sdistilroberta,10,i2q,approx,0.6341275132460789,0.06411913651571578,26.58336067199707
35,2,2,sminilm,10,i2q,approx,0.6378118530474753,0.06707784356006696,11.410354614257812
36,3,2,word2vec,10,i2q,approx,0.23324420108698804,0.02319677280349717,10.903736114501953
38,3,2,glove,10,i2q,approx,0.5038659420079697,0.05096550376749761,22.620644569396973
39,3,2,bert,10,i2q,approx,0.26340608922118525,0.025634541262963474,45.08856439590454
40,3,2,distilbert,10,i2q,approx,0.28450781018891785,0.02894457629979146,49.54153561592102
41,3,2,roberta,10,i2q,approx,0.31319640609502153,0.029793362209286287,56.46066951751709
42,3,2,xlnet,10,i2q,approx,0.1076953417283922,0.010092812343378492,39.32442092895508
43,3,2,albert,10,i2q,approx,0.08154730486128432,0.008498576719618298,38.098204374313354
44,3,2,smpnet,10,i2q,approx,0.44187746152909174,0.04521739440114152,53.82021355628967
45,3,2,st5,10,i2q,approx,0.8924844695277925,0.09852166596873524,68.50505757331848
46,3,2,sdistilroberta,10,i2q,approx,0.5862717006084581,0.059295957667115456,57.67428708076477
47,3,2,sminilm,10,i2q,approx,0.5908249856441014,0.06204888009264082,27.199166536331177
48,4,2,word2vec,10,i2q,approx,0.224172677544605,0.02221207092288803,17.610424995422363
50,4,2,glove,10,i2q,approx,0.4777733685037777,0.04793585860163008,36.78418707847595
51,4,2,bert,10,i2q,approx,0.24623979706964838,0.023711245196273753,69.96265983581543
52,4,2,distilbert,10,i2q,approx,0.2659142370270081,0.02678491652075499,77.27470469474792
53,4,2,roberta,10,i2q,approx,0.2897048639479602,0.02728521558596122,88.13436365127563
54,4,2,xlnet,10,i2q,approx,0.09846557264797653,0.009124625095044423,62.88312220573425
55,4,2,albert,10,i2q,approx,0.07572149987939339,0.007806270685835206,60.13118076324463
56,4,2,smpnet,10,i2q,approx,0.42133725499350283,0.04264583925647595,82.19310808181763
57,4,2,st5,10,i2q,approx,0.881004069500533,0.09597401452528362,102.6076991558075
58,4,2,sdistilroberta,10,i2q,approx,0.5624197576974252,0.05631405699148828,89.66933250427246
59,4,2,sminilm,10,i2q,approx,0.5692320860275294,0.059052278573126595,42.61285591125488
60,5,2,word2vec,10,i2q,approx,0.1658585392134226,0.01598611322322326,62.64167785644531
62,5,2,glove,10,i2q,approx,0.4073032332094904,0.040619988688952356,136.28308963775635
63,5,2,bert,10,i2q,approx,0.20032931485251965,0.019084840832827393,282.33194947242737
64,5,2,distilbert,10,i2q,approx,0.21628895745727886,0.021543371721891236,295.20417046546936
65,5,2,roberta,10,i2q,approx,0.21955878340085222,0.0203715393106439,335.33842277526855
66,5,2,xlnet,10,i2q,approx,0.0752223225093232,0.006885149313790579,250.35780429840088
67,5,2,albert,10,i2q,approx,0.057512320153742455,0.005857382203007065,241.40762162208557
68,5,2,smpnet,10,i2q,approx,0.35418022291723517,0.035412988295243836,283.1716938018799
69,5,2,st5,10,i2q,approx,0.8312902751831406,0.08910403238860325,355.4764566421509
70,5,2,sdistilroberta,10,i2q,approx,0.4825675363657354,0.047698513856221175,330.0788106918335
71,5,2,sminilm,10,i2q,approx,0.49493200301327755,0.05050730072980523,153.0024824142456
72,6,2,word2vec,10,i2q,approx,0.14000624671493886,0.013263797283313308,125.9079966545105
74,6,2,glove,10,i2q,approx,0.37021517369014195,0.036767336483164194,281.20956683158875
75,6,2,bert,10,i2q,approx,0.17684729695554227,0.016752711479742992,603.6266145706177
76,6,2,distilbert,10,i2q,approx,0.19138081535946,0.018957461688413488,646.6045861244202
77,6,2,roberta,10,i2q,approx,0.1870792062476473,0.01722441734329671,707.8675060272217
78,6,2,xlnet,10,i2q,approx,0.06480150946738597,0.005894902006517438,558.844610452652
79,6,2,albert,10,i2q,approx,0.049852514594120864,0.0050491991791392155,524.8589239120483
80,6,2,smpnet,10,i2q,approx,0.3173908077724984,0.03157052516533264,582.881016254425
81,6,2,st5,10,i2q,approx,0.7972620508571169,0.08461548642202044,723.0854794979095
82,6,2,sdistilroberta,10,i2q,approx,0.43832009985420445,0.04305184946750808,677.8699636459351
83,6,2,sminilm,10,i2q,approx,0.4540592575499591,0.04595694516292023,315.47349071502686
0,0,2,fasttext,10,i2q,approx,0.9010913268236646,0.09143043640432674,0.23088645935058594
1,1,2,fasttext,10,i2q,approx,0.8117759049012097,0.0792099843908937,2.7177417278289795
2,2,2,fasttext,10,i2q,approx,0.7453828789314245,0.07085006064635338,8.306885242462158
3,3,2,fasttext,10,i2q,approx,0.6640313683636596,0.06237376750501116,22.36386227607727
4,4,2,fasttext,10,i2q,approx,0.6159885462623622,0.056743795652091325,37.23401618003845
5,5,2,fasttext,10,i2q,approx,0.47565705543077974,0.04256982770289768,141.57813715934753
6,6,2,fasttext,10,i2q,approx,0.4135453487030491,0.03651127452533892,297.8772814273834
