,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
37,D1,0,bert,1,i2q,exact,0.8202247191011236,0.03235815602836879,0.016789913177490234
38,D1,0,bert,1,q2i,approx,0.8202247191011236,0.2153392330383481,0.10638713836669922
39,D1,0,bert,1,i2q,approx,0.4044943820224719,0.015957446808510637,0.02040386199951172
40,D1,0,bert,5,q2i,exact,0.8314606741573034,0.04365781710914454,0.010726690292358398
41,D1,0,bert,5,i2q,exact,0.8426966292134831,0.006648936170212766,0.021909475326538086
42,D1,0,bert,5,q2i,approx,0.8202247191011236,0.043067846607669616,0.10747933387756348
43,D1,0,bert,5,i2q,approx,0.4157303370786517,0.003280141843971631,0.022578954696655273
44,D1,0,bert,10,q2i,exact,0.8426966292134831,0.022123893805309734,0.012705326080322266
45,D1,0,bert,10,i2q,exact,0.8764044943820225,0.003457446808510638,0.03274035453796387
46,D1,0,bert,10,q2i,approx,0.8314606741573034,0.02182890855457227,0.10547208786010742
47,D1,0,bert,10,i2q,approx,0.8651685393258427,0.0034131205673758867,0.023996591567993164
48,D1,0,distilbert,1,q2i,exact,0.8089887640449438,0.21238938053097345,0.0186460018157959
49,D1,0,distilbert,1,i2q,exact,0.8539325842696629,0.03368794326241135,0.01607537269592285
50,D1,0,distilbert,1,q2i,approx,0.6966292134831461,0.18289085545722714,0.10169625282287598
51,D1,0,distilbert,1,i2q,approx,0.7415730337078652,0.02925531914893617,0.018785715103149414
52,D1,0,distilbert,5,q2i,exact,0.8426966292134831,0.04424778761061947,0.011581182479858398
53,D1,0,distilbert,5,i2q,exact,0.898876404494382,0.0070921985815602835,0.02376103401184082
54,D1,0,distilbert,5,q2i,approx,0.7303370786516854,0.038348082595870206,0.10160374641418457
55,D1,0,distilbert,5,i2q,approx,0.7865168539325843,0.0062056737588652485,0.022183656692504883
56,D1,0,distilbert,10,q2i,exact,0.8426966292134831,0.022123893805309734,0.012226581573486328
57,D1,0,distilbert,10,i2q,exact,0.9101123595505618,0.0035904255319148936,0.03211331367492676
58,D1,0,distilbert,10,q2i,approx,0.7415730337078652,0.019469026548672566,0.10209894180297852
59,D1,0,distilbert,10,i2q,approx,0.6853932584269663,0.002703900709219858,0.023781776428222656
60,D1,0,roberta,1,q2i,exact,0.8426966292134831,0.22123893805309736,0.012344837188720703
