Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,2,bert,0.7415730337078652,0.19469026548672566,0.308411214953271,0.3332946300506592,339,0.09999999999999969
D1,2,distilbert,0.0,0.0,0.0,0.00033974647521972656,73,0.95
D1,2,distilbert,0.0,0.0,0.0,0.0003502368927001953,73,0.8999999999999999
D1,2,distilbert,0.0,0.0,0.0,0.0003554821014404297,73,0.8499999999999999
D1,2,distilbert,0.0,0.0,0.0,0.00036072731018066406,73,0.7999999999999998
D1,2,distilbert,0.0,0.0,0.0,0.0003654956817626953,73,0.7499999999999998
D1,2,distilbert,0.0,0.0,0.0,0.00037026405334472656,73,0.6999999999999997
D1,2,distilbert,0.0,0.0,0.0,0.0003752708435058594,73,0.6499999999999997
D1,2,distilbert,0.0,0.0,0.0,0.0003800392150878906,73,0.5999999999999996
D1,2,distilbert,0.0,0.0,0.0,0.0003876686096191406,74,0.5499999999999996
D1,2,distilbert,0.15730337078651685,0.14736842105263157,0.15217391304347827,0.0004851818084716797,95,0.4999999999999996
D1,2,distilbert,0.4606741573033708,0.3082706766917293,0.3693693693693693,0.0006737709045410156,133,0.4499999999999996
D1,2,distilbert,0.7303370786516854,0.39156626506024095,0.5098039215686274,0.0009381771087646484,166,0.39999999999999963
D1,2,distilbert,0.8089887640449438,0.4,0.5353159851301116,0.0015072822570800781,180,0.34999999999999964
D1,2,distilbert,0.8426966292134831,0.38461538461538464,0.528169014084507,0.004630088806152344,195,0.29999999999999966
D1,2,distilbert,0.8651685393258427,0.2682926829268293,0.40957446808510645,0.04922294616699219,287,0.24999999999999967
D1,2,distilbert,0.8651685393258427,0.22781065088757396,0.360655737704918,0.28554415702819824,338,0.19999999999999968
D1,2,distilbert,0.8651685393258427,0.22713864306784662,0.3598130841121495,0.3151850700378418,339,0.1499999999999997
D1,2,roberta,0.0,0.0,0.0,0.00034308433532714844,73,0.95
D1,2,roberta,0.0,0.0,0.0,0.0004482269287109375,77,0.8999999999999999
D1,2,roberta,0.15730337078651685,0.14,0.14814814814814817,0.0014274120330810547,100,0.8499999999999999
D1,2,roberta,0.5393258426966292,0.3310344827586207,0.41025641025641024,0.0037899017333984375,145,0.7999999999999998
D1,2,roberta,0.7865168539325843,0.35353535353535354,0.4878048780487805,0.008397817611694336,198,0.7499999999999998
D1,2,roberta,0.8426966292134831,0.2604166666666667,0.3978779840848807,0.06467437744140625,288,0.6999999999999997
D1,2,roberta,0.8426966292134831,0.22255192878338279,0.352112676056338,0.4597930908203125,337,0.6499999999999997
D1,2,roberta,0.8426966292134831,0.22123893805309736,0.35046728971962615,0.8018031120300293,339,0.5999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.00031638145446777344,59,0.95
D1,2,xlnet,0.0,0.0,0.0,0.00036525726318359375,73,0.8999999999999999
D1,2,xlnet,0.0,0.0,0.0,0.00037097930908203125,73,0.8499999999999999
D1,2,xlnet,0.0,0.0,0.0,0.0003762245178222656,73,0.7999999999999998
D1,2,xlnet,0.0,0.0,0.0,0.0003809928894042969,73,0.7499999999999998
D1,2,xlnet,0.0,0.0,0.0,0.0003859996795654297,73,0.6999999999999997
D1,2,xlnet,0.0,0.0,0.0,0.00039076805114746094,73,0.6499999999999997
D1,2,xlnet,0.0,0.0,0.0,0.0003952980041503906,73,0.5999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.00040030479431152344,73,0.5499999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0004048347473144531,73,0.4999999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0004093647003173828,73,0.4499999999999996
D1,2,xlnet,0.0,0.0,0.0,0.0004143714904785156,73,0.39999999999999963
D1,2,xlnet,0.0,0.0,0.0,0.0004189014434814453,73,0.34999999999999964
D1,2,xlnet,0.0,0.0,0.0,0.000423431396484375,73,0.29999999999999966
D1,2,xlnet,0.0,0.0,0.0,0.00042819976806640625,73,0.24999999999999967
D1,2,xlnet,0.0,0.0,0.0,0.0004329681396484375,73,0.19999999999999968
D1,2,xlnet,0.0,0.0,0.0,0.0004382133483886719,73,0.1499999999999997
D1,2,xlnet,0.02247191011235955,0.025974025974025976,0.024096385542168676,0.0004885196685791016,77,0.09999999999999969
D1,2,xlnet,0.15730337078651685,0.109375,0.12903225806451613,0.004940509796142578,128,0.049999999999999684
D1,2,xlnet,0.2696629213483146,0.07079646017699115,0.11214953271028037,0.3366227149963379,339,-3.191891195797325e-16
D1,2,albert,0.0,0.0,0.0,0.0003504753112792969,73,0.95
D1,2,albert,0.0,0.0,0.0,0.00036025047302246094,73,0.8999999999999999
D1,2,albert,0.0,0.0,0.0,0.0006902217864990234,80,0.8499999999999999
D1,2,albert,0.0,0.0,0.0,0.006030559539794922,94,0.7999999999999998
D1,2,albert,0.0,0.0,0.0,0.007036685943603516,94,0.7499999999999998
D1,2,albert,0.0,0.0,0.0,0.007162570953369141,95,0.6999999999999997
D1,2,albert,0.0,0.0,0.0,0.007171630859375,95,0.6499999999999997
D1,2,albert,0.0,0.0,0.0,0.008166313171386719,95,0.5999999999999996
D1,2,albert,0.0,0.0,0.0,0.008703947067260742,95,0.5499999999999996
D1,2,albert,0.0,0.0,0.0,0.00911855697631836,95,0.4999999999999996
D1,2,albert,0.0,0.0,0.0,0.009505271911621094,95,0.4499999999999996
D1,2,albert,0.0,0.0,0.0,0.009561300277709961,95,0.39999999999999963
D1,2,albert,0.0,0.0,0.0,0.009577274322509766,96,0.34999999999999964
D1,2,albert,0.0,0.0,0.0,0.009594917297363281,96,0.29999999999999966
D1,2,albert,0.0,0.0,0.0,0.009741783142089844,98,0.24999999999999967
D1,2,albert,0.0,0.0,0.0,0.010040283203125,101,0.19999999999999968
D1,2,albert,0.056179775280898875,0.043478260869565216,0.049019607843137254,0.011081457138061523,115,0.1499999999999997
D1,2,albert,0.12359550561797752,0.05314009661835749,0.07432432432432433,0.021920442581176758,207,0.09999999999999969
D1,2,albert,0.1797752808988764,0.0471976401179941,0.07476635514018692,0.2989482879638672,339,0.049999999999999684
D1,2,smpnet,0.0,0.0,0.0,0.00033402442932128906,73,0.95
D1,2,smpnet,0.02247191011235955,0.02666666666666667,0.024390243902439022,0.0003516674041748047,75,0.8999999999999999
D1,2,smpnet,0.1797752808988764,0.16326530612244897,0.1711229946524064,0.0004851818084716797,98,0.8499999999999999
D1,2,smpnet,0.4606741573033708,0.3106060606060606,0.3710407239819005,0.0008323192596435547,132,0.7999999999999998
D1,2,smpnet,0.6741573033707865,0.36809815950920244,0.47619047619047616,0.0014214515686035156,163,0.7499999999999998
D1,2,smpnet,0.8426966292134831,0.39267015706806285,0.5357142857142857,0.00410151481628418,191,0.6999999999999997
D1,2,smpnet,0.8651685393258427,0.38308457711442784,0.5310344827586206,0.012669086456298828,201,0.6499999999999997
D1,2,smpnet,0.9101123595505618,0.375,0.5311475409836066,0.04815554618835449,216,0.5999999999999996
D1,2,smpnet,0.9662921348314607,0.3706896551724138,0.5358255451713395,0.1492764949798584,232,0.5499999999999996
