,Case,Columns,Vectorizer,k,Direction,Exact,Precision,Recall,F1,Time
0,D1,2,smpnet,1,right,exact,0.25663716814159293,0.9775280898876404,0.4065420560747664,2.2474539279937744
1,D1,2,smpnet,1,left,exact,0.03856382978723404,0.9775280898876404,0.07420042643923241,2.2474539279937744
2,D1,2,smpnet,1,both,exact,0.03731656184486373,1.0,0.0719482619240097,2.2474539279937744
3,D1,2,smpnet,5,right,exact,0.05191740412979351,0.9887640449438202,0.09865470852017938,0.12496209144592285
4,D1,2,smpnet,5,left,exact,0.007890070921985815,1.0,0.015656610080042217,0.12496209144592285
5,D1,2,smpnet,5,both,exact,0.007409257409257409,1.0,0.014709528138170398,0.12496209144592285
6,D1,2,smpnet,10,right,exact,0.025958702064896755,0.9887640449438202,0.0505892497844208,0.24865937232971191
7,D1,2,smpnet,10,left,exact,0.003945035460992907,1.0,0.007859066625458077,0.24865937232971191
8,D1,2,smpnet,10,both,exact,0.0037006237006237007,1.0,0.0073739591532375,0.24865937232971191
9,D1,2,st5,1,right,exact,0.25663716814159293,0.9775280898876404,0.4065420560747664,0.043493032455444336
10,D1,2,st5,1,left,exact,0.03856382978723404,0.9775280898876404,0.07420042643923241,0.043493032455444336
11,D1,2,st5,1,both,exact,0.036990332072299285,0.9887640449438202,0.07131280388978929,0.043493032455444336
12,D1,2,st5,5,right,exact,0.052507374631268436,1.0,0.09977578475336321,0.14492249488830566
13,D1,2,st5,5,left,exact,0.007890070921985815,1.0,0.015656610080042217,0.14492249488830566
14,D1,2,st5,5,both,exact,0.0074758504829903405,1.0,0.014840753710188427,0.14492249488830566
15,D1,2,st5,10,right,exact,0.026253687315634218,1.0,0.05116412762288013,0.24431276321411133
16,D1,2,st5,10,left,exact,0.003945035460992907,1.0,0.007859066625458077,0.24431276321411133
17,D1,2,st5,10,both,exact,0.0037559081701553005,1.0,0.007483708219466051,0.24431276321411133
18,D1,2,sdistilroberta,1,right,exact,0.24778761061946902,0.9438202247191011,0.3925233644859813,0.04419708251953125
19,D1,2,sdistilroberta,1,left,exact,0.038120567375886524,0.9662921348314607,0.07334754797441365,0.04419708251953125
20,D1,2,sdistilroberta,1,both,exact,0.03650860260176248,0.9775280898876404,0.0703883495145631,0.04419708251953125
21,D1,2,sdistilroberta,5,right,exact,0.052507374631268436,1.0,0.09977578475336321,0.1448657512664795
22,D1,2,sdistilroberta,5,left,exact,0.007890070921985815,1.0,0.015656610080042217,0.1448657512664795
23,D1,2,sdistilroberta,5,both,exact,0.0074185212969909145,1.0,0.01472778421313917,0.1448657512664795
24,D1,2,sdistilroberta,10,right,exact,0.026253687315634218,1.0,0.05116412762288013,0.243483304977417
25,D1,2,sdistilroberta,10,left,exact,0.003945035460992907,1.0,0.007859066625458077,0.243483304977417
