,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
109,D2,1,word2vec,5,i2q,exact,0.1812267657992565,0.0362453531598513,0.06020808219909668
110,D2,1,word2vec,1,i2q,exact,0.07713754646840149,0.07713754646840149,0.0157318115234375
111,D2,1,fasttext,10,i2q,exact,0.16356877323420074,0.016356877323420074,0.25013160705566406
112,D2,1,fasttext,5,i2q,exact,0.12546468401486988,0.02509293680297398,0.06029772758483887
113,D2,1,fasttext,1,i2q,exact,0.05762081784386617,0.05762081784386617,0.01542806625366211
114,D2,1,glove,10,i2q,exact,0.24349442379182157,0.024349442379182157,0.286449670791626
115,D2,1,glove,5,i2q,exact,0.18866171003717472,0.037732342007434944,0.06315469741821289
116,D2,1,glove,1,i2q,exact,0.08550185873605948,0.08550185873605948,0.01636028289794922
117,D2,1,bert,10,i2q,exact,0.12639405204460966,0.012639405204460967,0.2630608081817627
118,D2,1,bert,5,i2q,exact,0.08921933085501858,0.017843866171003718,0.06431055068969727
119,D2,1,bert,1,i2q,exact,0.03438661710037175,0.03438661710037175,0.016533851623535156
120,D2,1,distilbert,10,i2q,exact,0.0762081784386617,0.007620817843866171,0.35991621017456055
121,D2,1,distilbert,5,i2q,exact,0.04553903345724907,0.009107806691449814,0.06198859214782715
122,D2,1,distilbert,1,i2q,exact,0.017657992565055763,0.017657992565055763,0.016727685928344727
123,D2,1,roberta,10,i2q,exact,0.032527881040892194,0.0032527881040892194,0.2329120635986328
124,D2,1,roberta,5,i2q,exact,0.01858736059479554,0.0037174721189591076,0.06186103820800781
125,D2,1,roberta,1,i2q,exact,0.0037174721189591076,0.0037174721189591076,0.016463518142700195
126,D2,1,xlnet,10,i2q,exact,0.012081784386617101,0.0012081784386617101,0.3023386001586914
127,D2,1,xlnet,5,i2q,exact,0.007434944237918215,0.001486988847583643,0.1567401885986328
128,D2,1,xlnet,1,i2q,exact,0.0018587360594795538,0.0018587360594795538,0.018050193786621094
129,D2,1,albert,10,i2q,exact,0.023234200743494422,0.0023234200743494425,0.25185155868530273
130,D2,1,albert,5,i2q,exact,0.015799256505576207,0.0031598513011152417,0.0625450611114502
131,D2,1,albert,1,i2q,exact,0.004646840148698885,0.004646840148698885,0.01697063446044922
132,D2,1,smpnet,10,i2q,exact,0.3513011152416357,0.035130111524163565,0.23041939735412598
133,D2,1,smpnet,5,i2q,exact,0.27695167286245354,0.05539033457249071,0.061341285705566406
134,D2,1,smpnet,1,i2q,exact,0.15427509293680297,0.15427509293680297,0.01678299903869629
135,D2,1,st5,10,i2q,exact,0.3475836431226766,0.034758364312267656,0.2619013786315918
136,D2,1,st5,5,i2q,exact,0.28066914498141265,0.056133828996282525,0.062230825424194336
137,D2,1,st5,1,i2q,exact,0.1691449814126394,0.1691449814126394,0.01633930206298828
138,D2,1,sdistilroberta,10,i2q,exact,0.32806691449814124,0.03280669144981413,0.23153018951416016
139,D2,1,sdistilroberta,5,i2q,exact,0.275092936802974,0.0550185873605948,0.09605288505554199
140,D2,1,sdistilroberta,1,i2q,exact,0.1654275092936803,0.1654275092936803,0.030543804168701172
141,D2,1,sminilm,10,i2q,exact,0.34386617100371747,0.03438661710037175,0.3313760757446289
142,D2,1,sminilm,5,i2q,exact,0.2843866171003718,0.05687732342007435,0.1565248966217041
143,D2,1,sminilm,1,i2q,exact,0.1607806691449814,0.1607806691449814,0.1228187084197998
144,D3,0,word2vec,10,i2q,exact,0.6953762466001813,0.025238565317538663,0.6548275947570801
145,D3,0,word2vec,5,i2q,exact,0.6627379873073436,0.048107930240210595,0.17078495025634766
146,D3,0,word2vec,1,i2q,exact,0.5049864007252947,0.1832839749917736,0.0441737174987793
147,D3,0,fasttext,10,i2q,exact,0.6527651858567544,0.023692003948667325,0.42623353004455566
148,D3,0,fasttext,5,i2q,exact,0.6137805983680871,0.044554129647910494,0.17032074928283691
149,D3,0,fasttext,1,i2q,exact,0.4886672710788758,0.1773609740046068,0.05378007888793945
150,D3,0,glove,10,i2q,exact,0.7234814143245694,0.02625863770977295,0.5226037502288818
151,D3,0,glove,5,i2q,exact,0.6881233000906618,0.04995064165844028,0.18224477767944336
152,D3,0,glove,1,i2q,exact,0.543064369900272,0.1971043106284962,0.04327845573425293
153,D3,0,bert,10,i2q,exact,0.48957388939256574,0.017769002961500493,0.4690392017364502
154,D3,0,bert,5,i2q,exact,0.44152311876699907,0.03205001645278052,0.1754770278930664
155,D3,0,bert,1,i2q,exact,0.3028105167724388,0.10990457387298454,0.04680037498474121
156,D3,0,distilbert,10,i2q,exact,0.585675430643699,0.02125699243172096,0.4212632179260254
157,D3,0,distilbert,5,i2q,exact,0.5303717135086129,0.0384995064165844,0.31439208984375
158,D3,0,distilbert,1,i2q,exact,0.37624660018132366,0.13655807831523528,0.04146885871887207
159,D3,0,roberta,10,i2q,exact,0.5131459655485041,0.0186245475485357,0.3559865951538086
160,D3,0,roberta,5,i2q,exact,0.4741613780598368,0.034419216847647253,0.17100858688354492
161,D3,0,roberta,1,i2q,exact,0.36627379873073435,0.13293846660085554,0.04391288757324219
162,D3,0,xlnet,10,i2q,exact,0.13327289211242066,0.004837117472852912,0.5254669189453125
163,D3,0,xlnet,5,i2q,exact,0.12330009066183137,0.008950312602829878,0.2233273983001709
164,D3,0,xlnet,1,i2q,exact,0.09610154125113328,0.03487989470220467,0.045508384704589844
165,D3,0,albert,10,i2q,exact,0.21214868540344514,0.007699901283316881,0.4703240394592285
166,D3,0,albert,5,i2q,exact,0.18313689936536717,0.013293846660085554,0.3957216739654541
167,D3,0,albert,1,i2q,exact,0.1414324569356301,0.05133267522211254,0.04657268524169922
168,D3,0,smpnet,10,i2q,exact,0.9474161378059837,0.034386311286607435,0.45737409591674805
169,D3,0,smpnet,5,i2q,exact,0.9202175883952856,0.06679828891082593,0.17831015586853027
170,D3,0,smpnet,1,i2q,exact,0.7234814143245694,0.26258637709772953,0.047232627868652344
171,D3,0,st5,10,i2q,exact,0.9755213055303718,0.035406383678841725,0.4714016914367676
172,D3,0,st5,5,i2q,exact,0.9555757026291931,0.06936492267193156,0.337083101272583
173,D3,0,st5,1,i2q,exact,0.7742520398912058,0.28101349128002634,0.04524397850036621
174,D3,0,sdistilroberta,10,i2q,exact,0.9474161378059837,0.034386311286607435,0.9810993671417236
175,D3,0,sdistilroberta,5,i2q,exact,0.9111514052583862,0.06614017769002961,0.24801301956176758
176,D3,0,sdistilroberta,1,i2q,exact,0.742520398912058,0.2694965449160908,0.055145978927612305
177,D3,0,sminilm,10,i2q,exact,0.9673617407071623,0.03511023362948338,0.5981564521789551
178,D3,0,sminilm,5,i2q,exact,0.9401631912964642,0.06824613359657782,0.24595284461975098
179,D3,0,sminilm,1,i2q,exact,0.7597461468721668,0.2757486015136558,0.08280801773071289
180,D3,1,word2vec,10,i2q,exact,0.38077969174977333,0.013820335636722606,0.5217044353485107
181,D3,1,word2vec,5,i2q,exact,0.3354487760652765,0.02435011516946364,0.36586952209472656
182,D3,1,word2vec,1,i2q,exact,0.21758839528558477,0.07897334649555775,0.10910344123840332
183,D3,1,fasttext,10,i2q,exact,0.329102447869447,0.01194471865745311,0.4271278381347656
184,D3,1,fasttext,5,i2q,exact,0.2955575702629193,0.021454425797959854,0.2841928005218506
185,D3,1,fasttext,1,i2q,exact,0.20942883046237534,0.07601184600197433,0.04585576057434082
186,D3,1,glove,10,i2q,exact,0.39981867633726204,0.014511352418558736,0.8684225082397461
187,D3,1,glove,5,i2q,exact,0.36083408884859475,0.02619282658769332,0.5984506607055664
188,D3,1,glove,1,i2q,exact,0.23390752493200362,0.08489634748272458,0.0869455337524414
189,D3,1,bert,10,i2q,exact,0.18223028105167724,0.006614017769002962,0.5717775821685791
190,D3,1,bert,5,i2q,exact,0.15049864007252947,0.010924646265218822,0.5007338523864746
191,D3,1,bert,1,i2q,exact,0.08975521305530372,0.03257650542941757,0.38740086555480957
192,D3,1,distilbert,10,i2q,exact,0.2783318223028105,0.010102007239223429,0.5163800716400146
193,D3,1,distilbert,5,i2q,exact,0.2357207615593835,0.017110891740704178,0.5957672595977783
194,D3,1,distilbert,1,i2q,exact,0.15049864007252947,0.05462323132609411,0.04551839828491211
195,D3,1,roberta,10,i2q,exact,0.16500453309156846,0.005988812109246463,0.3887014389038086
196,D3,1,roberta,5,i2q,exact,0.1468721668177697,0.010661401776900297,0.18343162536621094
197,D3,1,roberta,1,i2q,exact,0.09519492293744333,0.034550839091806514,0.045022010803222656
198,D3,1,xlnet,10,i2q,exact,0.032638259292837715,0.0011846001974333662,0.5077919960021973
199,D3,1,xlnet,5,i2q,exact,0.028105167724388033,0.002040144784468575,0.22288060188293457
