Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.296295166015625,215,0.95
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.29634642601013184,215,0.8999999999999999
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.2963690757751465,215,0.8499999999999999
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.2963900566101074,215,0.7999999999999998
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.29641056060791016,215,0.7499999999999998
D1,0,word2vec,0.5617977528089888,0.23255813953488372,0.32894736842105265,0.2964305877685547,215,0.6999999999999997
D1,0,word2vec,0.5617977528089888,0.23148148148148148,0.32786885245901637,0.29645466804504395,216,0.6499999999999997
D1,0,word2vec,0.5617977528089888,0.23148148148148148,0.32786885245901637,0.2964775562286377,216,0.5999999999999996
D1,0,word2vec,0.5617977528089888,0.23148148148148148,0.32786885245901637,0.29889678955078125,216,0.5499999999999996
D1,0,word2vec,0.5730337078651685,0.23076923076923078,0.32903225806451614,0.29941511154174805,221,0.4999999999999996
D1,0,word2vec,0.5842696629213483,0.23214285714285715,0.33226837060702874,0.30247926712036133,224,0.4499999999999996
D1,0,word2vec,0.5955056179775281,0.23348017621145375,0.33544303797468356,0.31991147994995117,227,0.39999999999999963
D1,0,word2vec,0.5955056179775281,0.22362869198312235,0.3251533742331288,0.38150453567504883,237,0.34999999999999964
D1,0,word2vec,0.5955056179775281,0.16987179487179488,0.26433915211970077,0.6851561069488525,312,0.29999999999999966
D1,0,word2vec,0.5955056179775281,0.15963855421686746,0.2517814726840855,0.9726805686950684,332,0.24999999999999967
D1,0,word2vec,0.5955056179775281,0.15634218289085547,0.2476635514018692,1.011124610900879,339,0.19999999999999968
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19681477546691895,196,0.95
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19685673713684082,196,0.8999999999999999
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.1968827247619629,196,0.8499999999999999
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19690752029418945,196,0.7999999999999998
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.1969318389892578,196,0.7499999999999998
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19695591926574707,196,0.6999999999999997
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19697976112365723,196,0.6499999999999997
D1,0,fasttext,0.7528089887640449,0.34183673469387754,0.47017543859649125,0.19700336456298828,196,0.5999999999999996
D1,0,fasttext,0.7640449438202247,0.34517766497461927,0.4755244755244755,0.19703102111816406,197,0.5499999999999996
D1,0,fasttext,0.7865168539325843,0.35,0.4844290657439446,0.1970655918121338,200,0.4999999999999996
